Country or Area,Year,Area,Month,Record Type,Reliability,Source Year,Value,Value Footnotes
Italy,2019,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2021,420084,
Italy,2019,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2021,36712,
Italy,2019,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2021,30663,
Italy,2019,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2021,33163,
Italy,2019,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2021,31300,
Italy,2019,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2021,33281,
Italy,2019,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2021,33479,
Italy,2019,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2021,36604,
Italy,2019,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2021,36655,
Italy,2019,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2021,37843,
Italy,2019,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2021,38587,
Italy,2019,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2021,35333,
Italy,2019,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2021,36464,
Italy,2019,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2021,0,
Italy,2018,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2020,439747,
Italy,2018,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2020,37935,
Italy,2018,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2020,32663,
Italy,2018,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2020,34459,
Italy,2018,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2020,31902,
Italy,2018,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2020,35607,
Italy,2018,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2020,35954,
Italy,2018,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2020,39782,
Italy,2018,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2020,39334,
Italy,2018,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2020,38420,
Italy,2018,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2020,38494,
Italy,2018,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2020,35520,
Italy,2018,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2020,39677,
Italy,2018,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2020,0,
Italy,2017,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2019,458151,
Italy,2017,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2019,38503,
Italy,2017,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2019,34333,
Italy,2017,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2019,36387,
Italy,2017,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2019,34079,
Italy,2017,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2019,38462,
Italy,2017,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2019,37526,
Italy,2017,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2019,40921,
Italy,2017,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2019,40619,
Italy,2017,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2019,39958,
Italy,2017,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2019,41222,
Italy,2017,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2019,38227,
Italy,2017,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2019,37914,
Italy,2016,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2018,473438,
Italy,2016,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2018,39563,
Italy,2016,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2018,36161,
Italy,2016,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2018,37671,
Italy,2016,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2018,33089,
Italy,2016,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2018,37012,
Italy,2016,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2018,38172,
Italy,2016,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2018,42573,
Italy,2016,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2018,43359,
Italy,2016,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2018,44307,
Italy,2016,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2018,42752,
Italy,2016,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2018,39367,
Italy,2016,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2018,39412,
Italy,2015,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2017,485780,
Italy,2015,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2017,41769,
Italy,2015,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2017,36108,
Italy,2015,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2017,38547,
Italy,2015,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2017,38386,
Italy,2015,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2017,40989,
Italy,2015,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2017,39577,
Italy,2015,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2017,42627,
Italy,2015,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2017,41367,
Italy,2015,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2017,43325,
Italy,2015,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2017,42409,
Italy,2015,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2017,39328,
Italy,2015,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2017,41348,
Italy,2015,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2017,0,
Italy,2013,Total,Total,Data tabulated by year of registration,"Final figure, complete",2015,514308,
Italy,2013,Total,January,Data tabulated by year of registration,"Final figure, complete",2015,44475,
Italy,2013,Total,February,Data tabulated by year of registration,"Final figure, complete",2015,38083,
Italy,2013,Total,March,Data tabulated by year of registration,"Final figure, complete",2015,39985,
Italy,2013,Total,April,Data tabulated by year of registration,"Final figure, complete",2015,37241,
Italy,2013,Total,May,Data tabulated by year of registration,"Final figure, complete",2015,41868,
Italy,2013,Total,June,Data tabulated by year of registration,"Final figure, complete",2015,40965,
Italy,2013,Total,July,Data tabulated by year of registration,"Final figure, complete",2015,46695,
Italy,2013,Total,August,Data tabulated by year of registration,"Final figure, complete",2015,45028,
Italy,2013,Total,September,Data tabulated by year of registration,"Final figure, complete",2015,46925,
Italy,2013,Total,October,Data tabulated by year of registration,"Final figure, complete",2015,45801,
Italy,2013,Total,November,Data tabulated by year of registration,"Final figure, complete",2015,42711,
Italy,2013,Total,December,Data tabulated by year of registration,"Final figure, complete",2015,44531,
Italy,2013,Total,Unknown,Data tabulated by year of registration,"Final figure, complete",2015,0,
Italy,2012,Total,Total,Data tabulated by year of registration,"Final figure, complete",2013,534186,
Italy,2012,Total,January,Data tabulated by year of registration,"Final figure, complete",2013,45334,
Italy,2012,Total,February,Data tabulated by year of registration,"Final figure, complete",2013,42412,
Italy,2012,Total,March,Data tabulated by year of registration,"Final figure, complete",2013,43310,
Italy,2012,Total,April,Data tabulated by year of registration,"Final figure, complete",2013,39749,
Italy,2012,Total,May,Data tabulated by year of registration,"Final figure, complete",2013,47082,
Italy,2012,Total,June,Data tabulated by year of registration,"Final figure, complete",2013,40943,
Italy,2012,Total,July,Data tabulated by year of registration,"Final figure, complete",2013,46020,
Italy,2012,Total,August,Data tabulated by year of registration,"Final figure, complete",2013,47358,
Italy,2012,Total,September,Data tabulated by year of registration,"Final figure, complete",2013,45519,
Italy,2012,Total,October,Data tabulated by year of registration,"Final figure, complete",2013,51228,
Italy,2012,Total,November,Data tabulated by year of registration,"Final figure, complete",2013,43939,
Italy,2012,Total,December,Data tabulated by year of registration,"Final figure, complete",2013,41292,
Italy,2011,Total,Total,Data tabulated by year of registration,Provisional figure,2013,546606,
Italy,2011,Total,January,Data tabulated by year of registration,Provisional figure,2013,45021,
Italy,2011,Total,February,Data tabulated by year of registration,Provisional figure,2013,41862,
Italy,2011,Total,March,Data tabulated by year of registration,Provisional figure,2013,45946,
Italy,2011,Total,April,Data tabulated by year of registration,Provisional figure,2013,39395,
Italy,2011,Total,May,Data tabulated by year of registration,Provisional figure,2013,45619,
Italy,2011,Total,June,Data tabulated by year of registration,Provisional figure,2013,43406,
Italy,2011,Total,July,Data tabulated by year of registration,Provisional figure,2013,46405,
Italy,2011,Total,August,Data tabulated by year of registration,Provisional figure,2013,50426,
Italy,2011,Total,September,Data tabulated by year of registration,Provisional figure,2013,48954,
Italy,2011,Total,October,Data tabulated by year of registration,Provisional figure,2013,47666,
Italy,2011,Total,November,Data tabulated by year of registration,Provisional figure,2013,46473,
Italy,2011,Total,December,Data tabulated by year of registration,Provisional figure,2013,45433,
Italy,2011,Total,Unknown,Data tabulated by year of registration,Provisional figure,2012,0,
Italy,2010,Total,Total,Data tabulated by year of registration,"Final figure, complete",2010,561944,
Italy,2010,Total,January,Data tabulated by year of occurrence,Provisional figure,2010,45518,
Italy,2010,Total,January,Data tabulated by year of registration,"Final figure, complete",2010,45540,
Italy,2010,Total,February,Data tabulated by year of occurrence,Provisional figure,2010,43071,
Italy,2010,Total,February,Data tabulated by year of registration,"Final figure, complete",2010,43074,
Italy,2010,Total,March,Data tabulated by year of occurrence,Provisional figure,2010,46273,
Italy,2010,Total,March,Data tabulated by year of registration,"Final figure, complete",2010,46291,
Italy,2010,Total,April,Data tabulated by year of registration,"Final figure, complete",2010,43592,
Italy,2010,Total,May,Data tabulated by year of registration,"Final figure, complete",2010,44233,
Italy,2010,Total,June,Data tabulated by year of registration,"Final figure, complete",2010,43419,
Italy,2010,Total,July,Data tabulated by year of registration,"Final figure, complete",2010,47512,
Italy,2010,Total,August,Data tabulated by year of registration,"Final figure, complete",2010,48783,
Italy,2010,Total,September,Data tabulated by year of registration,"Final figure, complete",2010,51482,
Italy,2010,Total,October,Data tabulated by year of registration,"Final figure, complete",2010,50100,
Italy,2010,Total,November,Data tabulated by year of registration,"Final figure, complete",2010,49352,
Italy,2010,Total,December,Data tabulated by year of registration,"Final figure, complete",2010,48566,
Italy,2010,Total,Unknown,Data tabulated by year of registration,"Final figure, complete",2010,0,
Italy,2009,Total,Total,Data tabulated by year of occurrence,Provisional figure,2010,568857,
Italy,2009,Total,Total,Data tabulated by year of registration,"Final figure, complete",2010,568857,
Italy,2009,Total,January,Data tabulated by year of occurrence,Provisional figure,2010,47466,
Italy,2009,Total,January,Data tabulated by year of registration,"Final figure, complete",2010,47466,
Italy,2009,Total,February,Data tabulated by year of occurrence,Provisional figure,2010,42740,
Italy,2009,Total,February,Data tabulated by year of registration,"Final figure, complete",2010,42740,
Italy,2009,Total,March,Data tabulated by year of occurrence,Provisional figure,2010,47177,
Italy,2009,Total,March,Data tabulated by year of registration,"Final figure, complete",2010,47177,
Italy,2009,Total,April,Data tabulated by year of occurrence,Provisional figure,2010,43486,
Italy,2009,Total,April,Data tabulated by year of registration,"Final figure, complete",2010,43486,
Italy,2009,Total,May,Data tabulated by year of occurrence,Provisional figure,2010,43799,
Italy,2009,Total,May,Data tabulated by year of registration,"Final figure, complete",2010,43799,
Italy,2009,Total,June,Data tabulated by year of occurrence,Provisional figure,2010,45837,
Italy,2009,Total,June,Data tabulated by year of registration,"Final figure, complete",2010,45837,
Italy,2009,Total,July,Data tabulated by year of occurrence,Provisional figure,2010,51719,
Italy,2009,Total,July,Data tabulated by year of registration,"Final figure, complete",2010,51719,
Italy,2009,Total,August,Data tabulated by year of occurrence,Provisional figure,2010,47722,
Italy,2009,Total,August,Data tabulated by year of registration,"Final figure, complete",2010,47722,
Italy,2009,Total,September,Data tabulated by year of occurrence,Provisional figure,2010,52221,
Italy,2009,Total,September,Data tabulated by year of registration,"Final figure, complete",2010,52221,
Italy,2009,Total,October,Data tabulated by year of occurrence,Provisional figure,2010,52313,
Italy,2009,Total,October,Data tabulated by year of registration,"Final figure, complete",2010,52313,
Italy,2009,Total,November,Data tabulated by year of occurrence,Provisional figure,2010,45846,
Italy,2009,Total,November,Data tabulated by year of registration,"Final figure, complete",2010,45846,
Italy,2009,Total,December,Data tabulated by year of occurrence,Provisional figure,2010,48531,
Italy,2009,Total,December,Data tabulated by year of registration,"Final figure, complete",2010,48531,
Italy,2009,Total,Unknown,Data tabulated by year of registration,"Final figure, complete",2010,0,
Italy,2008,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2009,576659,
Italy,2008,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2009,51047,
Italy,2008,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2009,43579,
Italy,2008,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2009,43692,
Italy,2008,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2009,45127,
Italy,2008,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2009,48954,
Italy,2008,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2009,45413,
Italy,2008,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2009,52067,
Italy,2008,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2009,47559,
Italy,2008,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2009,54423,
Italy,2008,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2009,51735,
Italy,2008,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2009,44952,
Italy,2008,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2009,48111,
Italy,2007,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2008,563933,
Italy,2007,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2008,49131,
Italy,2007,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2008,41762,
Italy,2007,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2008,45343,
Italy,2007,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2008,40513,
Italy,2007,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2008,49462,
Italy,2007,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2008,45808,
Italy,2007,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2008,48931,
Italy,2007,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2008,48555,
Italy,2007,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2008,48538,
Italy,2007,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2008,54058,
Italy,2007,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2008,47004,
Italy,2007,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2008,44828,
Italy,2007,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2008,0,
Italy,2006,Total,January,Data tabulated by year of occurrence,Provisional figure,2007,47115,
Italy,2006,Total,February,Data tabulated by year of occurrence,Provisional figure,2007,42217,
Italy,2006,Total,March,Data tabulated by year of occurrence,Provisional figure,2007,46223,
Italy,2006,Total,April,Data tabulated by year of occurrence,Provisional figure,2007,38900,
Italy,2006,Total,May,Data tabulated by year of occurrence,Provisional figure,2007,49584,
Italy,2006,Total,June,Data tabulated by year of occurrence,Provisional figure,2007,44802,
Italy,2006,Total,July,Data tabulated by year of occurrence,Provisional figure,2007,46942,
Italy,2006,Total,August,Data tabulated by year of occurrence,Provisional figure,2007,49094,
Italy,2006,Total,September,Data tabulated by year of occurrence,Provisional figure,2007,51351,
Italy,2006,Total,October,Data tabulated by year of occurrence,Provisional figure,2007,52484,
Italy,2006,Total,November,Data tabulated by year of occurrence,Provisional figure,2007,47457,
Italy,2006,Total,December,Data tabulated by year of occurrence,Provisional figure,2007,44113,
Italy,2005,Total,January,Data tabulated by year of occurrence,Provisional figure,2006,44722,
Italy,2005,Total,February,Data tabulated by year of occurrence,Provisional figure,2006,42303,
Italy,2005,Total,March,Data tabulated by year of occurrence,Provisional figure,2006,46887,
Italy,2005,Total,April,Data tabulated by year of occurrence,Provisional figure,2006,43444,
Italy,2005,Total,May,Data tabulated by year of occurrence,Provisional figure,2006,48558,
Italy,2005,Total,June,Data tabulated by year of occurrence,Provisional figure,2006,45022,
Italy,2005,Total,July,Data tabulated by year of occurrence,Provisional figure,2006,46200,
Italy,2005,Total,August,Data tabulated by year of occurrence,Provisional figure,2006,47751,
Italy,2005,Total,September,Data tabulated by year of occurrence,Provisional figure,2006,50262,
Italy,2005,Total,October,Data tabulated by year of occurrence,Provisional figure,2006,48258,
Italy,2005,Total,November,Data tabulated by year of occurrence,Provisional figure,2006,44699,
Italy,2005,Total,December,Data tabulated by year of occurrence,Provisional figure,2006,45916,
Italy,2004,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,562599,
Italy,2004,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2005,45564,
Italy,2004,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2005,40672,
Italy,2004,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2005,43817,
Italy,2004,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2005,39849,
Italy,2004,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2005,42472,
Italy,2004,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2005,44291,
Italy,2004,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2005,51462,
Italy,2004,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2005,52113,
Italy,2004,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2005,54267,
Italy,2004,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2005,50615,
Italy,2004,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2005,48566,
Italy,2004,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2005,48911,
Italy,2003,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2005,539503,
Italy,2003,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2005,44841,
Italy,2003,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2005,39824,
Italy,2003,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2005,42477,
Italy,2003,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2005,41469,
Italy,2003,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2005,48110,
Italy,2003,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2005,45570,
Italy,2003,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2005,48878,
Italy,2003,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2005,45333,
Italy,2003,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2005,48715,
Italy,2003,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2005,47813,
Italy,2003,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2005,41737,
Italy,2003,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2005,44736,
Italy,2002,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,535538,
Italy,2002,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44329,
Italy,2002,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,38999,
Italy,2002,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,42384,
Italy,2002,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,42626,
Italy,2002,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,45699,
Italy,2002,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,42820,
Italy,2002,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,48423,
Italy,2002,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,46391,
Italy,2002,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,48388,
Italy,2002,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,49127,
Italy,2002,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,42543,
Italy,2002,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,43809,
Italy,2001,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,535282,
Italy,2001,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44862,
Italy,2001,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,37837,
Italy,2001,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,42692,
Italy,2001,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,41703,
Italy,2001,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,47106,
Italy,2001,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,43419,
Italy,2001,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,47683,
Italy,2001,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,45910,
Italy,2001,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,46176,
Italy,2001,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,46465,
Italy,2001,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,41957,
Italy,2001,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,42030,
Italy,2001,Total,Unknown,Data tabulated by year of occurrence,"Final figure, complete",2004,7442,
Italy,2000,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2004,543039,
Italy,2000,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2004,44926,
Italy,2000,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2004,40573,
Italy,2000,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2004,43761,
Italy,2000,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2004,43342,
Italy,2000,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2004,47415,
Italy,2000,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2004,44595,
Italy,2000,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2004,48994,
Italy,2000,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2004,47388,
Italy,2000,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2004,47821,
Italy,2000,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2004,47148,
Italy,2000,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2004,44182,
Italy,2000,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2004,42894,
Italy,1999,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2003,523463,
Italy,1999,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2003,41972,
Italy,1999,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2003,38512,
Italy,1999,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2003,43073,
Italy,1999,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2003,39829,
Italy,1999,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2003,43015,
Italy,1999,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2003,43380,
Italy,1999,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2003,48747,
Italy,1999,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2003,46834,
Italy,1999,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2003,47957,
Italy,1999,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2003,45010,
Italy,1999,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2003,41994,
Italy,1999,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2003,43140,
Italy,1998,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",2003,515439,
Italy,1998,Total,January,Data tabulated by year of occurrence,"Final figure, complete",2003,41732,
Italy,1998,Total,February,Data tabulated by year of occurrence,"Final figure, complete",2003,37342,
Italy,1998,Total,March,Data tabulated by year of occurrence,"Final figure, complete",2003,41508,
Italy,1998,Total,April,Data tabulated by year of occurrence,"Final figure, complete",2003,41828,
Italy,1998,Total,May,Data tabulated by year of occurrence,"Final figure, complete",2003,45053,
Italy,1998,Total,June,Data tabulated by year of occurrence,"Final figure, complete",2003,43048,
Italy,1998,Total,July,Data tabulated by year of occurrence,"Final figure, complete",2003,45865,
Italy,1998,Total,August,Data tabulated by year of occurrence,"Final figure, complete",2003,44114,
Italy,1998,Total,September,Data tabulated by year of occurrence,"Final figure, complete",2003,47268,
Italy,1998,Total,October,Data tabulated by year of occurrence,"Final figure, complete",2003,45092,
Italy,1998,Total,November,Data tabulated by year of occurrence,"Final figure, complete",2003,40577,
Italy,1998,Total,December,Data tabulated by year of occurrence,"Final figure, complete",2003,42012,
Italy,1997,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,528901,
Italy,1997,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1998,42961,
Italy,1997,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1998,38353,
Italy,1997,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1998,41745,
Italy,1997,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1998,43413,
Italy,1997,Total,May,Data tabulated by year of occurrence,"Final figure, complete",1998,47167,
Italy,1997,Total,June,Data tabulated by year of occurrence,"Final figure, complete",1998,48858,
Italy,1997,Total,July,Data tabulated by year of occurrence,"Final figure, complete",1998,51186,
Italy,1997,Total,August,Data tabulated by year of occurrence,"Final figure, complete",1998,44149,
Italy,1997,Total,September,Data tabulated by year of occurrence,"Final figure, complete",1998,45933,
Italy,1997,Total,October,Data tabulated by year of occurrence,"Final figure, complete",1998,41570,
Italy,1997,Total,November,Data tabulated by year of occurrence,"Final figure, complete",1998,39199,
Italy,1997,Total,December,Data tabulated by year of occurrence,"Final figure, complete",1998,44367,
Italy,1996,Total,Total,Data tabulated by year of occurrence,"Final figure, complete",1998,525640,
Italy,1996,Total,January,Data tabulated by year of occurrence,"Final figure, complete",1998,42645,
Italy,1996,Total,February,Data tabulated by year of occurrence,"Final figure, complete",1998,39315,
Italy,1996,Total,March,Data tabulated by year of occurrence,"Final figure, complete",1998,42758,
Italy,1996,Total,April,Data tabulated by year of occurrence,"Final figure, complete",1998,40910,
