"Country or Area","Year","Area","Month","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Spain","2020","Total","Total","Data tabulated by year of occurrence","Provisional figure","2021","338435",""
"Spain","2020","Total","January","Data tabulated by year of occurrence","Provisional figure","2021","30161",""
"Spain","2020","Total","February","Data tabulated by year of occurrence","Provisional figure","2021","26771",""
"Spain","2020","Total","March","Data tabulated by year of occurrence","Provisional figure","2021","28994",""
"Spain","2020","Total","April","Data tabulated by year of occurrence","Provisional figure","2021","27078",""
"Spain","2020","Total","May","Data tabulated by year of occurrence","Provisional figure","2021","28317",""
"Spain","2020","Total","June","Data tabulated by year of occurrence","Provisional figure","2021","28243",""
"Spain","2020","Total","July","Data tabulated by year of occurrence","Provisional figure","2021","29848",""
"Spain","2020","Total","August","Data tabulated by year of occurrence","Provisional figure","2021","29449",""
"Spain","2020","Total","September","Data tabulated by year of occurrence","Provisional figure","2021","30107",""
"Spain","2020","Total","October","Data tabulated by year of occurrence","Provisional figure","2021","30017",""
"Spain","2020","Total","November","Data tabulated by year of occurrence","Provisional figure","2021","26470",""
"Spain","2020","Total","December","Data tabulated by year of occurrence","Provisional figure","2021","22980",""
"Spain","2019","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2021","358747",""
"Spain","2019","Total","January","Data tabulated by year of occurrence","Final figure, complete","2021","30858",""
"Spain","2019","Total","February","Data tabulated by year of occurrence","Final figure, complete","2021","27324",""
"Spain","2019","Total","March","Data tabulated by year of occurrence","Final figure, complete","2021","29333",""
"Spain","2019","Total","April","Data tabulated by year of occurrence","Final figure, complete","2021","28780",""
"Spain","2019","Total","May","Data tabulated by year of occurrence","Final figure, complete","2021","29732",""
"Spain","2019","Total","June","Data tabulated by year of occurrence","Final figure, complete","2021","28475",""
"Spain","2019","Total","July","Data tabulated by year of occurrence","Final figure, complete","2021","31329",""
"Spain","2019","Total","August","Data tabulated by year of occurrence","Final figure, complete","2021","31134",""
"Spain","2019","Total","September","Data tabulated by year of occurrence","Final figure, complete","2021","31083",""
"Spain","2019","Total","October","Data tabulated by year of occurrence","Final figure, complete","2021","31896",""
"Spain","2019","Total","November","Data tabulated by year of occurrence","Final figure, complete","2021","29610",""
"Spain","2019","Total","December","Data tabulated by year of occurrence","Final figure, complete","2021","29193",""
"Spain","2018","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2020","370827",""
"Spain","2018","Total","January","Data tabulated by year of occurrence","Final figure, complete","2020","31614",""
"Spain","2018","Total","February","Data tabulated by year of occurrence","Final figure, complete","2020","28086",""
"Spain","2018","Total","March","Data tabulated by year of occurrence","Final figure, complete","2020","30206",""
"Spain","2018","Total","April","Data tabulated by year of occurrence","Final figure, complete","2020","29302",""
"Spain","2018","Total","May","Data tabulated by year of occurrence","Final figure, complete","2020","30906",""
"Spain","2018","Total","June","Data tabulated by year of occurrence","Final figure, complete","2020","30380",""
"Spain","2018","Total","July","Data tabulated by year of occurrence","Final figure, complete","2020","32342",""
"Spain","2018","Total","August","Data tabulated by year of occurrence","Final figure, complete","2020","32860",""
"Spain","2018","Total","September","Data tabulated by year of occurrence","Final figure, complete","2020","31224",""
"Spain","2018","Total","October","Data tabulated by year of occurrence","Final figure, complete","2020","32874",""
"Spain","2018","Total","November","Data tabulated by year of occurrence","Final figure, complete","2020","30546",""
"Spain","2018","Total","December","Data tabulated by year of occurrence","Final figure, complete","2020","30487",""
"Spain","2017","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2019","391265",""
"Spain","2017","Total","January","Data tabulated by year of occurrence","Final figure, complete","2019","32541",""
"Spain","2017","Total","February","Data tabulated by year of occurrence","Final figure, complete","2019","29647",""
"Spain","2017","Total","March","Data tabulated by year of occurrence","Final figure, complete","2019","32706",""
"Spain","2017","Total","April","Data tabulated by year of occurrence","Final figure, complete","2019","30600",""
"Spain","2017","Total","May","Data tabulated by year of occurrence","Final figure, complete","2019","32602",""
"Spain","2017","Total","June","Data tabulated by year of occurrence","Final figure, complete","2019","31933",""
"Spain","2017","Total","July","Data tabulated by year of occurrence","Final figure, complete","2019","33861",""
"Spain","2017","Total","August","Data tabulated by year of occurrence","Final figure, complete","2019","33889",""
"Spain","2017","Total","September","Data tabulated by year of occurrence","Final figure, complete","2019","33566",""
"Spain","2017","Total","October","Data tabulated by year of occurrence","Final figure, complete","2019","34904",""
"Spain","2017","Total","November","Data tabulated by year of occurrence","Final figure, complete","2019","33175",""
"Spain","2017","Total","December","Data tabulated by year of occurrence","Final figure, complete","2019","31841",""
"Spain","2016","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2018","408734",""
"Spain","2016","Total","January","Data tabulated by year of occurrence","Final figure, complete","2018","34333",""
"Spain","2016","Total","February","Data tabulated by year of occurrence","Final figure, complete","2018","31959",""
"Spain","2016","Total","March","Data tabulated by year of occurrence","Final figure, complete","2018","34140",""
"Spain","2016","Total","April","Data tabulated by year of occurrence","Final figure, complete","2018","31613",""
"Spain","2016","Total","May","Data tabulated by year of occurrence","Final figure, complete","2018","33288",""
"Spain","2016","Total","June","Data tabulated by year of occurrence","Final figure, complete","2018","34054",""
"Spain","2016","Total","July","Data tabulated by year of occurrence","Final figure, complete","2018","35653",""
"Spain","2016","Total","August","Data tabulated by year of occurrence","Final figure, complete","2018","36041",""
"Spain","2016","Total","September","Data tabulated by year of occurrence","Final figure, complete","2018","35996",""
"Spain","2016","Total","October","Data tabulated by year of occurrence","Final figure, complete","2018","35533",""
"Spain","2016","Total","November","Data tabulated by year of occurrence","Final figure, complete","2018","33181",""
"Spain","2016","Total","December","Data tabulated by year of occurrence","Final figure, complete","2018","32943",""
"Spain","2015","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2017","418432",""
"Spain","2015","Total","January","Data tabulated by year of occurrence","Final figure, complete","2017","35337",""
"Spain","2015","Total","February","Data tabulated by year of occurrence","Final figure, complete","2017","31211",""
"Spain","2015","Total","March","Data tabulated by year of occurrence","Final figure, complete","2017","35058",""
"Spain","2015","Total","April","Data tabulated by year of occurrence","Final figure, complete","2017","33689",""
"Spain","2015","Total","May","Data tabulated by year of occurrence","Final figure, complete","2017","34980",""
"Spain","2015","Total","June","Data tabulated by year of occurrence","Final figure, complete","2017","33785",""
"Spain","2015","Total","July","Data tabulated by year of occurrence","Final figure, complete","2017","36238",""
"Spain","2015","Total","August","Data tabulated by year of occurrence","Final figure, complete","2017","35333",""
"Spain","2015","Total","September","Data tabulated by year of occurrence","Final figure, complete","2017","36512",""
"Spain","2015","Total","October","Data tabulated by year of occurrence","Final figure, complete","2017","36535",""
"Spain","2015","Total","November","Data tabulated by year of occurrence","Final figure, complete","2017","34784",""
"Spain","2015","Total","December","Data tabulated by year of occurrence","Final figure, complete","2017","34970",""
"Spain","2014","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2016","426076",""
"Spain","2014","Total","January","Data tabulated by year of occurrence","Final figure, complete","2016","35692",""
"Spain","2014","Total","February","Data tabulated by year of occurrence","Final figure, complete","2016","31615",""
"Spain","2014","Total","March","Data tabulated by year of occurrence","Final figure, complete","2016","35967",""
"Spain","2014","Total","April","Data tabulated by year of occurrence","Final figure, complete","2016","34335",""
"Spain","2014","Total","May","Data tabulated by year of occurrence","Final figure, complete","2016","35489",""
"Spain","2014","Total","June","Data tabulated by year of occurrence","Final figure, complete","2016","34589",""
"Spain","2014","Total","July","Data tabulated by year of occurrence","Final figure, complete","2016","36821",""
"Spain","2014","Total","August","Data tabulated by year of occurrence","Final figure, complete","2016","35928",""
"Spain","2014","Total","September","Data tabulated by year of occurrence","Final figure, complete","2016","37550",""
"Spain","2014","Total","October","Data tabulated by year of occurrence","Final figure, complete","2016","37153",""
"Spain","2014","Total","November","Data tabulated by year of occurrence","Final figure, complete","2016","34922",""
"Spain","2014","Total","December","Data tabulated by year of occurrence","Final figure, complete","2016","36015",""
"Spain","2013","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2015","424440",""
"Spain","2013","Total","January","Data tabulated by year of occurrence","Final figure, complete","2015","36869",""
"Spain","2013","Total","February","Data tabulated by year of occurrence","Final figure, complete","2015","32211",""
"Spain","2013","Total","March","Data tabulated by year of occurrence","Final figure, complete","2015","34459",""
"Spain","2013","Total","April","Data tabulated by year of occurrence","Final figure, complete","2015","34509",""
"Spain","2013","Total","May","Data tabulated by year of occurrence","Final figure, complete","2015","34901",""
"Spain","2013","Total","June","Data tabulated by year of occurrence","Final figure, complete","2015","33877",""
"Spain","2013","Total","July","Data tabulated by year of occurrence","Final figure, complete","2015","36879",""
"Spain","2013","Total","August","Data tabulated by year of occurrence","Final figure, complete","2015","36328",""
"Spain","2013","Total","September","Data tabulated by year of occurrence","Final figure, complete","2015","36716",""
"Spain","2013","Total","October","Data tabulated by year of occurrence","Final figure, complete","2015","37510",""
"Spain","2013","Total","November","Data tabulated by year of occurrence","Final figure, complete","2015","35154",""
"Spain","2013","Total","December","Data tabulated by year of occurrence","Final figure, complete","2015","35027",""
"Spain","2012","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","453348",""
"Spain","2012","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","38360",""
"Spain","2012","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","35816",""
"Spain","2012","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","38101",""
"Spain","2012","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","36470",""
"Spain","2012","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","38850",""
"Spain","2012","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","36565",""
"Spain","2012","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","38474",""
"Spain","2012","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","39135",""
"Spain","2012","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","38331",""
"Spain","2012","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","39919",""
"Spain","2012","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","37078",""
"Spain","2012","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","36249",""
"Spain","2012","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2011","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","470553",""
"Spain","2011","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","38502",""
"Spain","2011","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36608",""
"Spain","2011","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","39900",""
"Spain","2011","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","37396",""
"Spain","2011","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","39323",""
"Spain","2011","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","38106",""
"Spain","2011","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","40310",""
"Spain","2011","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","41281",""
"Spain","2011","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","39922",""
"Spain","2011","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","40596",""
"Spain","2011","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","39643",""
"Spain","2011","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","38966",""
"Spain","2011","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2010","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","485252",""
"Spain","2010","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","40449",""
"Spain","2010","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36121",""
"Spain","2010","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","40359",""
"Spain","2010","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","38504",""
"Spain","2010","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","39563",""
"Spain","2010","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","38091",""
"Spain","2010","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","40487",""
"Spain","2010","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","40794",""
"Spain","2010","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","42559",""
"Spain","2010","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","43382",""
"Spain","2010","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","41448",""
"Spain","2010","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","43495",""
"Spain","2010","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2009","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","493717",""
"Spain","2009","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","41985",""
"Spain","2009","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","37565",""
"Spain","2009","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","41728",""
"Spain","2009","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","40039",""
"Spain","2009","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","41569",""
"Spain","2009","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","40303",""
"Spain","2009","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","42907",""
"Spain","2009","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","41305",""
"Spain","2009","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","42825",""
"Spain","2009","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","41965",""
"Spain","2009","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","40018",""
"Spain","2009","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","41508",""
"Spain","2009","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2008","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","518503",""
"Spain","2008","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","42722",""
"Spain","2008","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","39515",""
"Spain","2008","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","42061",""
"Spain","2008","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","43585",""
"Spain","2008","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","44291",""
"Spain","2008","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","42263",""
"Spain","2008","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","45362",""
"Spain","2008","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","44266",""
"Spain","2008","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","44581",""
"Spain","2008","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","44741",""
"Spain","2008","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","42051",""
"Spain","2008","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","43065",""
"Spain","2008","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2007","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","491138",""
"Spain","2007","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","41670",""
"Spain","2007","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36171",""
"Spain","2007","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","40376",""
"Spain","2007","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","38530",""
"Spain","2007","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","41289",""
"Spain","2007","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","40085",""
"Spain","2007","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","42682",""
"Spain","2007","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","41716",""
"Spain","2007","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","42981",""
"Spain","2007","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","44256",""
"Spain","2007","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","40869",""
"Spain","2007","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","40513",""
"Spain","2007","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2006","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","481295",""
"Spain","2006","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","40075",""
"Spain","2006","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","36394",""
"Spain","2006","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","40641",""
"Spain","2006","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","38229",""
"Spain","2006","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","41473",""
"Spain","2006","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","39512",""
"Spain","2006","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","40484",""
"Spain","2006","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","40286",""
"Spain","2006","Total","September","Data tabulated by year of occurrence","Final figure, complete","2013","41486",""
"Spain","2006","Total","October","Data tabulated by year of occurrence","Final figure, complete","2013","43069",""
"Spain","2006","Total","November","Data tabulated by year of occurrence","Final figure, complete","2013","40662",""
"Spain","2006","Total","December","Data tabulated by year of occurrence","Final figure, complete","2013","38984",""
"Spain","2006","Total","Unknown","Data tabulated by year of occurrence","Final figure, complete","2013","0",""
"Spain","2005","Total","Total","Data tabulated by year of occurrence","Final figure, complete","2013","464811",""
"Spain","2005","Total","January","Data tabulated by year of occurrence","Final figure, complete","2013","38456",""
"Spain","2005","Total","February","Data tabulated by year of occurrence","Final figure, complete","2013","35329",""
"Spain","2005","Total","March","Data tabulated by year of occurrence","Final figure, complete","2013","38685",""
"Spain","2005","Total","April","Data tabulated by year of occurrence","Final figure, complete","2013","37696",""
"Spain","2005","Total","May","Data tabulated by year of occurrence","Final figure, complete","2013","39299",""
"Spain","2005","Total","June","Data tabulated by year of occurrence","Final figure, complete","2013","37116",""
"Spain","2005","Total","July","Data tabulated by year of occurrence","Final figure, complete","2013","38907",""
"Spain","2005","Total","August","Data tabulated by year of occurrence","Final figure, complete","2013","40110",""
